sex,age,mother_job,father_job,reason,guardian,studytime,failures,schoolsup,famsup,paid,activities,internet,freetime,goout,health,absences,G1,G2,G3,FinalResult
F,18,at_home,teacher,course,mother,2,0,yes,no,no,no,no,3,4,3,4,0,11,11,Poor
F,17,at_home,other,course,father,2,0,no,yes,no,no,yes,3,3,3,2,9,11,11,Fair
F,15,at_home,other,other,mother,2,0,yes,no,no,no,yes,3,2,3,6,12,13,12,Fair
F,15,health,services,home,mother,3,0,no,yes,no,yes,yes,2,2,5,0,14,14,14,Fair
F,16,other,other,home,father,2,0,no,yes,no,no,no,3,2,5,0,11,13,13,Fair
M,16,services,other,reputation,mother,2,0,no,yes,no,yes,yes,4,2,5,6,12,12,13,Fair
M,16,other,other,home,mother,2,0,no,no,no,no,yes,4,4,3,0,13,12,13,Fair
F,17,other,teacher,home,mother,2,0,yes,yes,no,no,no,1,4,1,2,10,13,13,Fair
M,15,services,other,home,mother,2,0,no,yes,no,no,yes,2,2,1,0,15,16,17,Good
M,15,other,other,home,mother,2,0,no,yes,no,yes,yes,5,1,5,0,12,12,13,Fair
F,15,teacher,health,reputation,mother,2,0,no,yes,no,no,yes,3,3,2,2,14,14,14,Fair
F,15,services,other,reputation,father,3,0,no,yes,no,yes,yes,2,2,4,0,10,12,13,Fair
M,15,health,services,course,father,1,0,no,yes,no,yes,yes,3,3,5,0,12,13,12,Fair
M,15,teacher,other,course,mother,2,0,no,yes,no,no,yes,4,3,3,0,12,12,13,Fair
M,15,other,other,home,other,3,0,no,yes,no,no,yes,5,2,3,0,14,14,15,Fair
F,16,health,other,home,mother,1,0,no,yes,no,no,yes,4,4,2,6,17,17,17,Good
F,16,services,services,reputation,mother,3,0,no,yes,no,yes,yes,2,3,2,10,13,13,14,Fair
F,16,other,other,reputation,mother,2,0,yes,yes,no,yes,no,3,2,4,2,13,14,14,Fair
M,17,services,services,course,mother,1,3,no,yes,yes,yes,yes,5,5,5,2,8,8,7,Poor
M,16,health,other,home,father,1,0,no,no,no,yes,yes,1,3,5,6,12,12,12,Fair
M,15,teacher,other,reputation,mother,2,0,no,no,no,no,yes,4,1,1,0,12,13,14,Fair
M,15,health,health,other,father,1,0,no,yes,yes,no,yes,4,2,5,0,11,12,12,Fair
M,16,teacher,other,course,mother,2,0,no,no,no,yes,yes,5,1,5,0,12,13,14,Fair
M,16,other,other,reputation,mother,2,0,no,yes,no,yes,yes,4,4,5,2,10,10,10,Fair
F,15,services,health,course,mother,3,0,yes,yes,no,yes,yes,3,2,5,2,10,11,10,Fair
F,16,services,services,home,mother,1,0,no,yes,no,no,yes,2,2,5,6,10,11,12,Fair
M,15,other,other,home,mother,1,0,no,yes,no,no,yes,2,2,5,8,11,12,12,Fair
M,15,health,services,other,mother,1,0,no,no,no,no,yes,2,4,1,0,11,11,11,Fair
M,16,services,other,home,mother,2,0,yes,yes,yes,yes,yes,3,3,5,2,12,12,13,Fair
M,16,teacher,teacher,home,mother,2,0,no,yes,yes,yes,yes,4,5,5,4,12,11,12,Fair
M,15,health,services,home,mother,2,0,no,yes,yes,no,yes,4,2,5,0,10,11,11,Fair
M,15,services,services,reputation,mother,2,0,no,yes,no,yes,yes,3,1,5,2,15,15,15,Good
M,15,teacher,at_home,course,mother,2,0,no,yes,no,yes,yes,5,2,5,0,13,14,15,Fair
M,15,other,other,course,mother,2,0,no,no,no,yes,yes,3,2,2,0,13,12,12,Fair
M,16,other,other,home,mother,1,0,no,yes,no,no,yes,4,3,5,4,12,12,12,Fair
F,15,other,other,other,father,1,0,no,yes,no,yes,no,5,1,5,4,11,11,11,Fair
M,15,teacher,services,home,mother,3,0,no,yes,no,yes,yes,4,3,4,0,14,14,14,Fair
M,16,other,teacher,reputation,mother,3,0,no,yes,no,yes,yes,4,3,5,4,13,13,13,Fair
F,15,services,health,course,mother,3,0,yes,yes,no,yes,yes,3,2,5,2,11,12,12,Fair
